"Business Object","Workday ID"
"Class","fa0e7c2400f74f6fac6802b2738c5317"
"Attribute","427515045e914891b8fbc55830d87b8e"
"Relationship","131fde501af6445187585f921a70ab0a"
"Text Attribute","f023fe3c6b07485d901b698dc817c903"
"Element","530e602a5ad441e5bfaeb5f70d9c89c8"
"Instance Set","03df4406b1004af3b140d0464ddb2346"
"Instance","664e23e1cd584236835c42a8009cb5d0"
"Numeric Attribute","9522a479bf0042aeabbfd7a05e1e461b"
"Date Attribute","3cf87e1fc91f41689cdbee7064985015"
"Person","88c817dc77fc4cf9b6b3c42af8c943fc"
"Role","ed2f645fa0f6415cbd0263fdd6db0ba8"
"Common Date","01db698e1f314954bf5fa44e99603941"
"Workday Account","1cf06f1ca6174eafa347ea47fbfcb94d"
"Element Content","90177b048b244e5d8ddb808165e354bb"
"Module","10fa4ff7df7b4b5883b548e54b9a59cc"
"Display Option","722b85f403b94550a82e66ac0a16ed41"
"Static Application Word Bucket","e0683b89b83d4514ba55876dc51529fc"
"Action Category","f27aff0adfea417da9ec8a19cc7b3d57"
"Validation","db2dd150b2ab46d7baf28bec9d8d559f"
"Relational Operator","eccaaf3285784e939eec9ab676f20492"
"Exception","4929d8cb2a3a4bd0b6ddc13513da4bbf"
"Military Status","873062d34b294256b4d411cb353962bf"
"Citizenship Status","6cf5bc3a87bf4a0390109868c584565a"
"Authority","dfdb69394d73463284dadf63a50cc106"
"Location","41189763853d46998bd4795117fb0c0f"
"Job Profile","cca14fa712bf40aebeb80827523a86cd"
"Job Classification","1dd4c6b6db434d8da00dfc0fc1e3caff"
"Job Classification Group","cfb70d24c2d54375816a4f21139f1bf5"
"Organization","a2e60b63d798460a9e090393a97df42e"
"Contactable","7018602b90754937b7b04109d37c14a4"
"Address","ad51d73ca3b54c5ba4a258b116ca1a9b"
"Language Skill","41ac6c888e254175b8470bfdd2f39736"
"Language","20cbe5e15a1742cfb9208b7d89cb8a81"
"Ethnicity","a1c304ec7259419fbc449dbfc1faf838"
"Marital Status","c7fca6d8861c4fa995c64a656dee7316"
"Language Ability","ca3438533a984aa4a0ebc02b3fef7ba1"
"Internet Email Address","0a198d26cc4e4874b7b198777a281069"
"Employee","a862ba6b3b86496a8d5eac4f2b2b8d61"
"Instant Messenger","cbb877c25bb24766ad91f8bfca197505"
"Web Address","b6ba9adb392f4c3eb54a8ecc477bbaaf"
"Role Assignment","acfc55ca03b74865bdc9cf0b102ef6a9"
"Assignable Role","744881f4ad1444c6ac99275685f6dd9d"
"Phone Data","0ba6001bf0134902b82399a30314f6ae"
"Job Family","ff28177863ae4d3c88286229fd2e1232"
"Worker","766f3df40606431e8229445f1fe283c3"
"Contingent Worker","dba99034d7a9401d833b1953e00a83af"
"Manager","2c237326687645838095968e760e1e5a"
"HR Partner","a7d9e70e6cc34cb78891a76a12aa9a3b"
"Emergency Contact","7b74f32c4c3647bdb3411a31e911ea2d"
"Pre-Hire","e2a70aec327140ef832c28c7fd1bc8df"
"Staffing Event","0a1c4490c8074145a6cd06bdfcd2fd78"
"Demote Employee Inbound Event","93e84a94538049c1b9fcc9f2e23055da"
"Hire Employee Event","e7e8f202cace42919d0c66d279467117"
"Promote Employee Inbound Event","37a9f9e0a75942ebbdf1b143d2bd7d43"
"Web Service","a484572e4d1340baa6b8f207cdb95841"
"Position, Headcount, or Hiring Business Process","f49e76f76e35456d90f07a4e393c0e55"
"Position Request Event","87e034057d1a40c69b000acd146f1686"
"Hire Event","ab98157947a54eb190fd288beff6380a"
"Contract Contingent Worker Event","758c97cada8d4c69bbe1c1d6ac94340a"
"Visibility Change","238edfcafc3240aa94177941540d6234"
"Dependent","f42ae40c15364b99a38936b03d56c956"
"Beneficiary Person","4ca875f6b1224d0488331cb1007aba9b"
"Position Change Event","cf1b531100164d17a26a7c2dd3f37718"
"Education","653eeb99753f4fb38f439caa1806908d"
"Compensation Element","8a00387fcf73409dbadfd9a192ff01db"
"Compensation Element Value","c04c4906df3b4854880df291da86601c"
"Compensation Plan Default","d705ed25f01c4228bfcd786b44615038"
"Compensation Rule Assignments","b25be943ed7e46538d2e214884e38271"
"COMPEC","694c6971dbde47fe9f110903571836dc"
"Employee Compensation Event","9eda684de63d4af09f0569595656ea68"
"Compensation Grade","397e766637f14f3091ff4f2fc9f30eeb"
"Compensation Grade Profile","fd7cbc0d64014882b226c3a4b9f2f3b2"
"Compensation Plan","1b9757ac6c0047f0a23f3dde791b4108"
"Bonus Plan","7d49495886a44a8a90248cac18671c72"
"Merit Plan","2549e92ef4bf422b83bd54dfbd41a840"
"Salary Pay Plan","9371505e715047a69c824f4aaea6285c"
"Frequency","9d464e65b28845b889c639aa19993acc"
"Compensation Package","83e92e61a2d64a8f84841af44a642c1f"
"Compensation Partner","97364c4effc44d9883d2a3f9da4ac544"
"Compensation Assignable Component","5109c637fc234654b8b85e5674309657"
"Location Type","3e23209600384b10b88e853ea4124319"
"Employee Compensation Event For Staffing","b8cd2629134a43f4a9a924b5b8404ebc"
"Employee Compensation Event For Ad Hoc","014a592f05494ca498dcf95641ae846e"
"Employee Compensation Event for Compensation Plan Adjustment","02bb41b91b2b443e89d61d73e9219222"
"Team Leader","467c5454f28a47e883830f03aa173e7b"
"Transfer Employee Inbound Event","f8b7b3802d6f443d8359fc375b09e998"
"Tenant Setup","d4895bfd32dd48b1a940af2e4848e6b6"
"WS Test Employee","fe5b9e8a4e6344caa985bea42eb3637b"
"Employee Compensation Event For Change Position","134387713a8e46f194ffd789600698c6"
"Related Person for Worker","d30aaffb43004879a6bab662d5df8449"
"Termination Event","de912a6c4eb444f285a093e0bd6a8c9d"
"Web Service Operation","084f53fbdda04947b2bb430da6771b4c"
"Action Event","c7820ccace8845158d282309f29e6629"
"Management Level","bfc8eed9bb874ffd8bc2a37f3f9dc299"
"Pre-Hire Evaluation","dd15aa7468fb473aae1effe014218f67"
"Event","33e401f400214610bbfedddad82f7e65"
"comppee","ecf31f1b03784333ac4a178534b4d619"
"compmpee","1dfafeb5c60440dea46c7f43080c6a24"
"Global Identifier","3024968186bc4a23968a78db8833cb1f"
"Visa Identifier","2ba6883d0ef84401bf5a6ec3226ce503"
"Passport Identifier","a48197f208af451e9648cced3a180f9c"
"Government Identifier","f76d8e009acd4c189cbea071042226b8"
"License Identifier","e90003b9ada041338af9e4b7cf1d8b70"
"Custom Identifier","3e79f7c5898740b29024003f75cb914b"
"Identifier Type","7d335cc67cc34c0d8b75430821e24fc9"
"Custom ID Type","534e6dd7850f479aade19d8a371ae00c"
"Accomplishment","33c021fc118649d2b43520c08d45fa72"
"Related Task Object","d01654d953e64cfdbb7bbc8c911558c6"
"Course Offering","5f50eca5dde14777b93eea2af9a3f81a"
"Organization Status","33f8d5bff8b44997a4380db7cb184f66"
"Update Event","1e627cc6ced24bdb8352a3be76bfc732"
"Health Care Coverage Plan","3d2f265fee9e45629ee9d10bf6c2bbdf"
"Benefit Plan","f0f3d3a339774c57985cfedffb096ad3"
"Spending Account Plan","37494e5732ad460abde2a47dfd09ec8d"
"Insurance Coverage Plan","0ec730173fc34ceb8f182998ee10e1a8"
"Health Care Coverage Cost","0632bca424b14d709a4b8754095275d6"
"Benefit Provider","9d917a6358c74187b0d631b883b66046"
"Insurance Coverage Target","d262e60ce7054a98b2f3bfa887fa48e2"
"Coverage Level","99b40365f31c462b94b35e5600e5dd00"
"Qualification Rating","33409767d1374bb588d106b57c97675c"
"Competency","c0eaf4becd884f288d39414a87096375"
"Proficiency Rating Behavior","892ee004a88b4dd8b166a5016a015150"
"Insurance Election","8a619604a0394105a8c4fb66783fbb2b"
"Benefit Election","327098b671a844c98d5575904513959f"
"Health Care Election","1d945af7aae84e8e90d2e3bf425feea3"
"Spending Account Election","3e2511e134dc4dc3a113c76bb116bd87"
"Benefit Plan Year Definition","a6265985605843f8aa9c0b252ed11f37"
"Skill Achievement","14a179e2abee446da7f3b753675ce6f6"
"Work Experience","b771710bc5aa4a829f4b4447ec00d16b"
"Job History","102d892b5d4e4df6b0e7df9c0409fbf2"
"Benefit Event","ed5ebc02efef4905acb784fe1cfcb356"
"Open Enrollment","13549d055c0248cab1d22efbbfb38c6d"
"Professional Affiliation","cbe3264531d346f18c6a96886bea3c2f"
"Internal Project","60c4ce1b2b3348de87dba11c9c0e599d"
"Training","9daa41b862144481885d0aadf85eb43f"
"Award and Activity","5b55cbdf42e04dd1b30d7bcd0ce4f3b5"
"External Pay Group (Do Not Use)","64b01fc07ab1468096bd890e7b6de6d5"
"Assessable Skill","69b50d112db842bcb159df7f7cd9edcf"
"Competency","38a0298172354953a1a9355a64fe5b0a"
"Certification","0de57a942dff4349a516ec6c96cab513"
"Event Classification Category","3fa93eb028d5459fa4f7705062833fc3"
"Event Classification Subcategory","5b5c762729c6451bafd27267cd7ed220"
